"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2019","0.9051","0.9200","0.9299","0.9050","147.84K","-1.62%"
"07/02/2019","0.9200","0.9400","0.9485","0.9020","205.98K","-1.10%"
"07/01/2019","0.9302","0.9500","0.9500","0.9300","158.75K","-0.96%"
"06/28/2019","0.9392","0.9213","0.9486","0.9110","346.54K","3.07%"
"06/27/2019","0.9112","0.8900","0.9200","0.8850","166.72K","1.24%"
"06/26/2019","0.9000","0.9110","0.9390","0.8959","376.23K","-2.26%"
"06/25/2019","0.9208","0.9200","0.9470","0.9000","533.01K","0.96%"
"06/24/2019","0.9120","0.9500","0.9594","0.9100","372.33K","-1.92%"
"06/21/2019","0.9299","0.9500","0.9500","0.9200","390.05K","1.57%"
"06/20/2019","0.9155","0.9200","0.9500","0.8801","882.98K","-0.49%"
"06/19/2019","0.9200","0.9200","0.9400","0.9108","352.13K","-0.54%"
"06/18/2019","0.9250","0.9100","0.9380","0.9100","607.09K","1.00%"
"06/17/2019","0.9158","0.9100","0.9186","0.9030","213.07K","1.42%"
"06/14/2019","0.9030","0.9000","0.9200","0.8881","230.16K","0.21%"
"06/13/2019","0.9011","0.8934","0.9200","0.8804","460.99K","0.42%"
"06/12/2019","0.8973","0.8900","0.8973","0.8701","200.69K","1.73%"
"06/11/2019","0.8820","0.8900","0.9000","0.8800","236.12K","-0.81%"
"06/10/2019","0.8892","0.8963","0.9000","0.8600","249.45K","0.47%"
"06/08/2019","0.8850","0.8850","0.8850","0.8850","","0.00%"
"06/07/2019","0.8850","0.8464","0.8940","0.8464","231.01K","1.72%"
"06/06/2019","0.8700","0.8700","0.8720","0.8500","176.23K","0.01%"
"06/05/2019","0.8699","0.8700","0.8700","0.8397","169.17K","1.74%"
"06/04/2019","0.8550","0.8718","0.8750","0.8400","205.20K","-1.75%"
"06/03/2019","0.8702","0.8800","0.8940","0.8560","253.13K","0.02%"
"06/01/2019","0.8700","0.8700","0.8700","0.8700","","-0.01%"
"05/31/2019","0.8701","0.8150","0.8800","0.8050","318.21K","7.18%"
"05/30/2019","0.8118","0.8100","0.8200","0.8000","217.24K","0.22%"
"05/29/2019","0.8100","0.8020","0.8200","0.8000","125.20K","0.61%"
"05/28/2019","0.8051","0.8300","0.8300","0.8011","224.38K","-1.46%"
"05/27/2019","0.8170","0.8170","0.8170","0.8170","","0.00%"
"05/25/2019","0.8170","0.8170","0.8170","0.8170","","0.02%"
"05/24/2019","0.8168","0.8257","0.8300","0.8116","86.56K","-1.59%"
"05/23/2019","0.8300","0.8300","0.8300","0.8150","135.09K","-0.94%"
"05/22/2019","0.8379","0.8300","0.8461","0.8300","184.54K","0.07%"
"05/21/2019","0.8373","0.8159","0.8389","0.8150","208.39K","2.37%"
